glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002582-glyph-0001,obs-comp-cand-002582,obimd-glyph-link-039456,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󿫒,U+FFAD2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0002,obs-comp-cand-002582,obimd-glyph-link-039457,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩠,U+FEA60,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0003,obs-comp-cand-002582,obimd-glyph-link-039458,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩡,U+FEA61,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0004,obs-comp-cand-002582,obimd-glyph-link-039459,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩢,U+FEA62,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0005,obs-comp-cand-002582,obimd-glyph-link-039460,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩣,U+FEA63,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0006,obs-comp-cand-002582,obimd-glyph-link-039461,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩤,U+FEA64,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0007,obs-comp-cand-002582,obimd-glyph-link-039462,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩥,U+FEA65,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0008,obs-comp-cand-002582,obimd-glyph-link-039463,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩦,U+FEA66,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0009,obs-comp-cand-002582,obimd-glyph-link-039464,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩧,U+FEA67,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002582-glyph-0010,obs-comp-cand-002582,obimd-glyph-link-039465,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-6buadg1d1d,󾩨,U+FEA68,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
