glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002615-glyph-0001,obs-comp-cand-002615,obimd-glyph-link-039589,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󿬻,U+FFB3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0002,obs-comp-cand-002615,obimd-glyph-link-039590,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯗,U+FEBD7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0003,obs-comp-cand-002615,obimd-glyph-link-039591,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯘,U+FEBD8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0004,obs-comp-cand-002615,obimd-glyph-link-039592,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯙,U+FEBD9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0005,obs-comp-cand-002615,obimd-glyph-link-039593,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯚,U+FEBDA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0006,obs-comp-cand-002615,obimd-glyph-link-039594,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯛,U+FEBDB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0007,obs-comp-cand-002615,obimd-glyph-link-039595,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯜,U+FEBDC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0008,obs-comp-cand-002615,obimd-glyph-link-039596,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯝,U+FEBDD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0009,obs-comp-cand-002615,obimd-glyph-link-039597,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯞,U+FEBDE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0010,obs-comp-cand-002615,obimd-glyph-link-039598,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯟,U+FEBDF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0011,obs-comp-cand-002615,obimd-glyph-link-039599,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯠,U+FEBE0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002615-glyph-0012,obs-comp-cand-002615,obimd-glyph-link-039600,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-y8t8eyooox,󾯡,U+FEBE1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
