glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002621-glyph-0001,obs-comp-cand-002621,obimd-glyph-link-039716,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󿬾,U+FFB3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0002,obs-comp-cand-002621,obimd-glyph-link-039717,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱟,U+FEC5F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0003,obs-comp-cand-002621,obimd-glyph-link-039718,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱠,U+FEC60,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0004,obs-comp-cand-002621,obimd-glyph-link-039719,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱡,U+FEC61,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0005,obs-comp-cand-002621,obimd-glyph-link-039720,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱢,U+FEC62,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0006,obs-comp-cand-002621,obimd-glyph-link-039721,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱣,U+FEC63,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0007,obs-comp-cand-002621,obimd-glyph-link-039722,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱤,U+FEC64,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0008,obs-comp-cand-002621,obimd-glyph-link-039723,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱥,U+FEC65,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0009,obs-comp-cand-002621,obimd-glyph-link-039724,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱦,U+FEC66,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0010,obs-comp-cand-002621,obimd-glyph-link-039725,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱧,U+FEC67,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002621-glyph-0011,obs-comp-cand-002621,obimd-glyph-link-039726,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-zqamwvhq33,󾱨,U+FEC68,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
