glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002629-glyph-0001,obs-comp-cand-002629,obimd-glyph-link-039922,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾴽,U+FED3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0002,obs-comp-cand-002629,obimd-glyph-link-039923,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾴾,U+FED3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0003,obs-comp-cand-002629,obimd-glyph-link-039924,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾴿,U+FED3F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0004,obs-comp-cand-002629,obimd-glyph-link-039925,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾵀,U+FED40,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0005,obs-comp-cand-002629,obimd-glyph-link-039926,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾵁,U+FED41,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0006,obs-comp-cand-002629,obimd-glyph-link-039927,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾵂,U+FED42,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0007,obs-comp-cand-002629,obimd-glyph-link-039928,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾵃,U+FED43,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0008,obs-comp-cand-002629,obimd-glyph-link-039929,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾵄,U+FED44,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0009,obs-comp-cand-002629,obimd-glyph-link-039930,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾵅,U+FED45,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002629-glyph-0010,obs-comp-cand-002629,obimd-glyph-link-039931,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-yr4rr5qu3e,󾵆,U+FED46,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
