visual_index_id,candidate_component_id,asset_id,source_id,evidence_download_id,subcharacter_external_ref_id,source_zip_member,local_asset_path,file_size_bytes,image_format,pixel_width,pixel_height,color_mode,dpi_x,dpi_y,icc_profile_bytes,checksum_sha256,rights_status,review_status,caution,updated_at
obs-comp-cand-002649-visual-0001,obs-comp-cand-002649,asset-021198,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/07p8m5f9om.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/001_asset-021198_img.png,2295,PNG,250,250,L,,,0,0b713f9b6c210badbe51708fb3400eb798d118c13a40cb36e0d1f1e9a1290b64,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0002,obs-comp-cand-002649,asset-021199,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/4fyrs86607.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/002_asset-021199_img.png,2711,PNG,250,250,L,,,0,6eed27dafcdd683c8ac2e10ed2fb8bf189f3fd56c7d4b952713fac782779b58a,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0003,obs-comp-cand-002649,asset-021200,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/52n69amn46.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/003_asset-021200_img.png,2536,PNG,250,250,L,,,0,3ec0e6f3d0265a955cb1df64fbcbfd299e7a2468e677ca8b16f35cee4a97b84c,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0004,obs-comp-cand-002649,asset-021201,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/5w57em6t5f.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/004_asset-021201_img.png,2569,PNG,250,250,L,,,0,26bfc75460fa8132825ac38e8974b555c5fd3e75e09259f3e47ef196bc6d54f5,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0005,obs-comp-cand-002649,asset-021202,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/5zewbj5vgy.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/005_asset-021202_img.png,2455,PNG,250,250,L,,,0,63c7df9c98a91a10f3efd019c87c23ba1db5d4d37e6d2a9ae13b9b59518f092b,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0006,obs-comp-cand-002649,asset-021203,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/9khhpgq1t5.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/006_asset-021203_img.png,2800,PNG,250,250,L,,,0,74afc127e6fddf65fc865f26f4dd420867c05c80808e054c273428492f69347c,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0007,obs-comp-cand-002649,asset-021204,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/d9f97sql11.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/007_asset-021204_img.png,2448,PNG,250,250,L,,,0,cdc2d71b8ff838f885bb816bb7b7991cb8e4e0c436ff5f333484be6c8d18b8d0,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0008,obs-comp-cand-002649,asset-021205,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/hh0bv9ggkx.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/008_asset-021205_img.png,2194,PNG,250,250,L,,,0,1ffb172cccdcfef8df104149fef1d689bfd1159de54da5bf440630922270ab04,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0009,obs-comp-cand-002649,asset-021206,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/ia8zbwhkim.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/009_asset-021206_img.png,2628,PNG,250,250,L,,,0,4c62fa207d700ff6f407293f0ba4f96f116bca9f76163f700a797a6755449b66,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0010,obs-comp-cand-002649,asset-021207,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/j3y947qzb3.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/010_asset-021207_img.png,2457,PNG,250,250,L,,,0,8bb5c841fed372cf0d88afb1e1a924c3c063edaa379b5a2a28578592998dc5f1,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
obs-comp-cand-002649-visual-0011,obs-comp-cand-002649,asset-021208,src-obimd,dl-obimd-subcharacter-images,obimd-sub-jupncpuwyt,Sub-character Images/jupncpuwyt/jupncpuwyt/je5lsl30ok.png,corpus/003_graphemic-components/027_002601-002700_obs-comp-cand-bucket_component-candidates/2649_obs-comp-cand-002649_obimd-sub-jupncpuwyt_component-candidate/05_component-visual-assets/011_asset-021208_img.png,2737,PNG,250,250,L,,,0,e3263759a2edc76498ca530d0259a9470bb31f9d5843ff3fb1746f401e3f4c20,licensed_for_repository,needs_human_visual_review,"OBIMD subcharacter image is a source-marked review asset only; it is not a confirmed component form, component assignment, or decipherment conclusion.",2026-06-20
