glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002652-glyph-0001,obs-comp-cand-002652,obimd-glyph-link-040283,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾼸,U+FEF38,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0002,obs-comp-cand-002652,obimd-glyph-link-040284,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾼹,U+FEF39,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0003,obs-comp-cand-002652,obimd-glyph-link-040285,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾼺,U+FEF3A,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0004,obs-comp-cand-002652,obimd-glyph-link-040286,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾼻,U+FEF3B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0005,obs-comp-cand-002652,obimd-glyph-link-040287,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾼼,U+FEF3C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0006,obs-comp-cand-002652,obimd-glyph-link-040288,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾼽,U+FEF3D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0007,obs-comp-cand-002652,obimd-glyph-link-040289,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾼾,U+FEF3E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0008,obs-comp-cand-002652,obimd-glyph-link-040290,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾼿,U+FEF3F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0009,obs-comp-cand-002652,obimd-glyph-link-040291,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾽀,U+FEF40,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002652-glyph-0010,obs-comp-cand-002652,obimd-glyph-link-040292,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-x5pirxmhdq,󾽁,U+FEF41,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
