glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002658-glyph-0001,obs-comp-cand-002658,obimd-glyph-link-040343,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾾺,U+FEFBA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0002,obs-comp-cand-002658,obimd-glyph-link-040344,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾾻,U+FEFBB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0003,obs-comp-cand-002658,obimd-glyph-link-040345,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾾼,U+FEFBC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0004,obs-comp-cand-002658,obimd-glyph-link-040346,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾾽,U+FEFBD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0005,obs-comp-cand-002658,obimd-glyph-link-040347,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾾾,U+FEFBE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0006,obs-comp-cand-002658,obimd-glyph-link-040348,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾾿,U+FEFBF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0007,obs-comp-cand-002658,obimd-glyph-link-040349,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾿀,U+FEFC0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0008,obs-comp-cand-002658,obimd-glyph-link-040350,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾿁,U+FEFC1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0009,obs-comp-cand-002658,obimd-glyph-link-040351,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾿂,U+FEFC2,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0010,obs-comp-cand-002658,obimd-glyph-link-040352,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾿃,U+FEFC3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0011,obs-comp-cand-002658,obimd-glyph-link-040353,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾿄,U+FEFC4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0012,obs-comp-cand-002658,obimd-glyph-link-040354,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾿅,U+FEFC5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002658-glyph-0013,obs-comp-cand-002658,obimd-glyph-link-040355,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-vf7lmnbqi8,󾿆,U+FEFC6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
