glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002670-glyph-0001,obs-comp-cand-002670,obimd-glyph-link-040515,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂛,U+FF09B,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0002,obs-comp-cand-002670,obimd-glyph-link-040516,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂜,U+FF09C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0003,obs-comp-cand-002670,obimd-glyph-link-040517,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂝,U+FF09D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0004,obs-comp-cand-002670,obimd-glyph-link-040518,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂞,U+FF09E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0005,obs-comp-cand-002670,obimd-glyph-link-040519,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂟,U+FF09F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0006,obs-comp-cand-002670,obimd-glyph-link-040520,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂠,U+FF0A0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0007,obs-comp-cand-002670,obimd-glyph-link-040521,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂡,U+FF0A1,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0008,obs-comp-cand-002670,obimd-glyph-link-040522,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂣,U+FF0A3,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0009,obs-comp-cand-002670,obimd-glyph-link-040523,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂤,U+FF0A4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0010,obs-comp-cand-002670,obimd-glyph-link-040524,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂥,U+FF0A5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0011,obs-comp-cand-002670,obimd-glyph-link-040525,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂦,U+FF0A6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0012,obs-comp-cand-002670,obimd-glyph-link-040526,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂧,U+FF0A7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0013,obs-comp-cand-002670,obimd-glyph-link-040527,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂨,U+FF0A8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0014,obs-comp-cand-002670,obimd-glyph-link-040528,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂩,U+FF0A9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0015,obs-comp-cand-002670,obimd-glyph-link-040529,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂪,U+FF0AA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0016,obs-comp-cand-002670,obimd-glyph-link-040530,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂫,U+FF0AB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0017,obs-comp-cand-002670,obimd-glyph-link-040531,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂬,U+FF0AC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0018,obs-comp-cand-002670,obimd-glyph-link-040532,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂭,U+FF0AD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0019,obs-comp-cand-002670,obimd-glyph-link-040533,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂮,U+FF0AE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002670-glyph-0020,obs-comp-cand-002670,obimd-glyph-link-040534,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-49wngttuec,󿂯,U+FF0AF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
