glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002674-glyph-0001,obs-comp-cand-002674,obimd-glyph-link-040688,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿭟,U+FFB5F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0002,obs-comp-cand-002674,obimd-glyph-link-040689,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅡,U+FF161,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0003,obs-comp-cand-002674,obimd-glyph-link-040690,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅢,U+FF162,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0004,obs-comp-cand-002674,obimd-glyph-link-040691,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅣,U+FF163,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0005,obs-comp-cand-002674,obimd-glyph-link-040692,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅤,U+FF164,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0006,obs-comp-cand-002674,obimd-glyph-link-040693,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅥,U+FF165,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0007,obs-comp-cand-002674,obimd-glyph-link-040694,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅦,U+FF166,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0008,obs-comp-cand-002674,obimd-glyph-link-040695,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅧,U+FF167,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0009,obs-comp-cand-002674,obimd-glyph-link-040696,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅨,U+FF168,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002674-glyph-0010,obs-comp-cand-002674,obimd-glyph-link-040697,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-e9tplbqz9l,󿅩,U+FF169,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
