glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002681-glyph-0001,obs-comp-cand-002681,obimd-glyph-link-040790,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇔,U+FF1D4,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0002,obs-comp-cand-002681,obimd-glyph-link-040791,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇕,U+FF1D5,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0003,obs-comp-cand-002681,obimd-glyph-link-040792,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇖,U+FF1D6,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0004,obs-comp-cand-002681,obimd-glyph-link-040793,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇗,U+FF1D7,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0005,obs-comp-cand-002681,obimd-glyph-link-040794,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇘,U+FF1D8,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0006,obs-comp-cand-002681,obimd-glyph-link-040795,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇙,U+FF1D9,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0007,obs-comp-cand-002681,obimd-glyph-link-040796,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇚,U+FF1DA,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0008,obs-comp-cand-002681,obimd-glyph-link-040797,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇛,U+FF1DB,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0009,obs-comp-cand-002681,obimd-glyph-link-040798,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇜,U+FF1DC,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0010,obs-comp-cand-002681,obimd-glyph-link-040799,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇝,U+FF1DD,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0011,obs-comp-cand-002681,obimd-glyph-link-040800,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇞,U+FF1DE,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0012,obs-comp-cand-002681,obimd-glyph-link-040801,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇟,U+FF1DF,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002681-glyph-0013,obs-comp-cand-002681,obimd-glyph-link-040802,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-tur8btuhld,󿇠,U+FF1E0,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
