glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002709-glyph-0001,obs-comp-cand-002709,obimd-glyph-link-041256,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒎,U+FF48E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0002,obs-comp-cand-002709,obimd-glyph-link-041257,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒏,U+FF48F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0003,obs-comp-cand-002709,obimd-glyph-link-041258,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒐,U+FF490,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0004,obs-comp-cand-002709,obimd-glyph-link-041259,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒑,U+FF491,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0005,obs-comp-cand-002709,obimd-glyph-link-041260,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒒,U+FF492,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0006,obs-comp-cand-002709,obimd-glyph-link-041261,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒓,U+FF493,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0007,obs-comp-cand-002709,obimd-glyph-link-041262,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒔,U+FF494,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0008,obs-comp-cand-002709,obimd-glyph-link-041263,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒕,U+FF495,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0009,obs-comp-cand-002709,obimd-glyph-link-041264,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒖,U+FF496,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0010,obs-comp-cand-002709,obimd-glyph-link-041265,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒗,U+FF497,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0011,obs-comp-cand-002709,obimd-glyph-link-041266,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒘,U+FF498,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002709-glyph-0012,obs-comp-cand-002709,obimd-glyph-link-041267,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-b8fbfuqs4s,󿒙,U+FF499,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
