glyph_index_id,candidate_component_id,candidate_glyph_link_id,source_id,evidence_download_id,subcharacter_external_ref_id,glyph_codepoint,glyph_codepoint_uplus,relationship_type,rights_status,review_status,caution,updated_at
obs-comp-cand-002736-glyph-0001,obs-comp-cand-002736,obimd-glyph-link-041551,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿭭,U+FFB6D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0002,obs-comp-cand-002736,obimd-glyph-link-041552,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜜,U+FF71C,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0003,obs-comp-cand-002736,obimd-glyph-link-041553,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜝,U+FF71D,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0004,obs-comp-cand-002736,obimd-glyph-link-041554,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜞,U+FF71E,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0005,obs-comp-cand-002736,obimd-glyph-link-041555,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜟,U+FF71F,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0006,obs-comp-cand-002736,obimd-glyph-link-041556,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜠,U+FF720,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0007,obs-comp-cand-002736,obimd-glyph-link-041557,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜡,U+FF721,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0008,obs-comp-cand-002736,obimd-glyph-link-041558,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜢,U+FF722,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0009,obs-comp-cand-002736,obimd-glyph-link-041559,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜣,U+FF723,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
obs-comp-cand-002736-glyph-0010,obs-comp-cand-002736,obimd-glyph-link-041560,src-obimd,dl-obimd-subchar-glyph-mapping,obimd-sub-5kt0ywwp4z,󿜤,U+FF724,subcharacter_has_glyph_codepoint,licensed_for_repository,reviewed_metadata_only,OBIMD sub-character to glyph-code-point mapping is dataset metadata; glyph code points may use private-use code points and must be reviewed before formal asset/component import.,2026-06-20
