source_row_id,candidate_inscription_crosswalk_id,yingguo_ref_id,period_label,original_group_number,source_section_key,source_section_label_en,source_section_label_zh,declared_count,observed_section_row_count,count_reconciliation_status,source_note
1,cam-hopkins-crosswalk-000001,y1,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
2,cam-hopkins-crosswalk-000002,y13,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
3,cam-hopkins-crosswalk-000003,y14,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
4,cam-hopkins-crosswalk-000004,y23,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
5,cam-hopkins-crosswalk-000005,y27,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
6,cam-hopkins-crosswalk-000006,y30,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
7,cam-hopkins-crosswalk-000007,y38,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
8,cam-hopkins-crosswalk-000008,y39,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
9,cam-hopkins-crosswalk-000009,y50,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
10,cam-hopkins-crosswalk-000010,y60,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
11,cam-hopkins-crosswalk-000011,y62,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
12,cam-hopkins-crosswalk-000012,y63,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
13,cam-hopkins-crosswalk-000013,y66,I,1,period-i-group-1,Period I Group 1,第 I 期第 1 组,30,30,declared_count_matches_observed_rows,
