topic_crosswalk_route_id,topic_candidate_id,candidate_inscription_crosswalk_id,inscription_crosswalk_project_id,source_group_number,period_label,yingguo_ref_id,cul_ref_id,chalfant_ref_id,heji_ref_id,route_status,review_status,caution
obs-topic-cand-000018-crosswalk-route-001,obs-topic-cand-000018,cam-hopkins-crosswalk-000223,obs-insc-cw-cand-000223,18,I,y1305,532,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-002,obs-topic-cand-000018,cam-hopkins-crosswalk-000224,obs-insc-cw-cand-000224,18,I,y1309,310,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-003,obs-topic-cand-000018,cam-hopkins-crosswalk-000225,obs-insc-cw-cand-000225,18,I,y1313,274,554,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-004,obs-topic-cand-000018,cam-hopkins-crosswalk-000226,obs-insc-cw-cand-000226,18,I,y1314,213,629,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-005,obs-topic-cand-000018,cam-hopkins-crosswalk-000227,obs-insc-cw-cand-000227,18,I,y1323,219,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-006,obs-topic-cand-000018,cam-hopkins-crosswalk-000228,obs-insc-cw-cand-000228,18,I,y1327,226,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-007,obs-topic-cand-000018,cam-hopkins-crosswalk-000229,obs-insc-cw-cand-000229,18,I,y1357,309,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-008,obs-topic-cand-000018,cam-hopkins-crosswalk-000230,obs-insc-cw-cand-000230,18,I,y1369,229,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-009,obs-topic-cand-000018,cam-hopkins-crosswalk-000231,obs-insc-cw-cand-000231,18,I,y1380,230,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-010,obs-topic-cand-000018,cam-hopkins-crosswalk-000232,obs-insc-cw-cand-000232,18,I,y1406,222,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-011,obs-topic-cand-000018,cam-hopkins-crosswalk-000233,obs-insc-cw-cand-000233,18,I,y1408,507,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-012,obs-topic-cand-000018,cam-hopkins-crosswalk-000234,obs-insc-cw-cand-000234,18,I,y1448,188,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-013,obs-topic-cand-000018,cam-hopkins-crosswalk-000235,obs-insc-cw-cand-000235,18,I,y1460,194,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-014,obs-topic-cand-000018,cam-hopkins-crosswalk-000236,obs-insc-cw-cand-000236,18,I,y1482,191,81,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-015,obs-topic-cand-000018,cam-hopkins-crosswalk-000237,obs-insc-cw-cand-000237,18,I,y1494,186,395,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-016,obs-topic-cand-000018,cam-hopkins-crosswalk-000238,obs-insc-cw-cand-000238,18,I,y1495,189,634,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-017,obs-topic-cand-000018,cam-hopkins-crosswalk-000239,obs-insc-cw-cand-000239,18,I,y1499,190,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-018,obs-topic-cand-000018,cam-hopkins-crosswalk-000403,obs-insc-cw-cand-000403,18,II,y2188,A8,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-019,obs-topic-cand-000018,cam-hopkins-crosswalk-000404,obs-insc-cw-cand-000404,18,II,y2189,223,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-020,obs-topic-cand-000018,cam-hopkins-crosswalk-000405,obs-insc-cw-cand-000405,18,II,y2191,520,22,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-021,obs-topic-cand-000018,cam-hopkins-crosswalk-000470,obs-insc-cw-cand-000470,18,III,y2374,589,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-022,obs-topic-cand-000018,cam-hopkins-crosswalk-000471,obs-insc-cw-cand-000471,18,III,y2375,297,186,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-023,obs-topic-cand-000018,cam-hopkins-crosswalk-000472,obs-insc-cw-cand-000472,18,III,y2378,296,***,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-024,obs-topic-cand-000018,cam-hopkins-crosswalk-000473,obs-insc-cw-cand-000473,18,III,y2379,291,176,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
obs-topic-cand-000018-crosswalk-route-025,obs-topic-cand-000018,cam-hopkins-crosswalk-000474,obs-insc-cw-cand-000474,18,III,y2381,339,174,*****,topic_to_crosswalk_route_metadata_only,needs_human_topic_review,"Cambridge/Hopkins classified-table topic candidate only; not a grammar analysis result, not an accepted inscription topic assignment, not a transcription, not a reading, and not a decipherment conclusion."
