pipeline_row_id,source_id,source_type,authority_tier,adoption_status,rights_status,source_review_status,download_manifest_count,download_log_count,downloaded_count,access_boundary_or_error_count,checksum_present_count,size_recorded_count,field_map_count,large_source_register_count,package_manifest_count,metadata_profile_count,asset_count,candidate_queue_count,cross_source_crosswalk_match_count,graph_edge_count,source_route_review_queue_count,download_status_counts,current_stage,next_entry_path,next_action,caution,updated_at
source-pipeline-001,src-british-museum-oracle-bone,museum_collection,museum_collection,adopted_collection_reference,metadata_only_until_verified,reviewed,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,http_error:1,discovered_access_boundary_or_error,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_download_log_size_checksum_rights_and_extract_metadata,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-002,src-cambridge-hopkins,library_collection,university_library_collection,adopted_collection_reference,metadata_only_until_verified,reviewed,1,1,1,0,1,1,2,0,0,0,0,0,0,4403,1,downloaded:1,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,open_review_route_and_collect_source_marked_evidence_without_promoting_candidates,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-003,src-evobc,open_research_dataset,peer_reviewed_or_preprint_dataset,candidate_evolution_source,source_marked_risk_noted,reviewed,5,5,5,0,5,5,2,1,3,7,0,0,127,51948,1,downloaded:5,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,open_review_route_and_collect_source_marked_evidence_without_promoting_candidates,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-004,src-gbedobc,open_research_dataset,peer_reviewed_dataset,candidate_evolution_source,source_marked_risk_noted,reviewed,2,2,2,0,2,2,1,0,0,3,0,0,0,0,1,downloaded:2,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_metadata_profile_and_decide_safe_derived_record_promotion,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-005,src-hust-obc,open_research_dataset,peer_reviewed_dataset,candidate_large_source,source_marked_risk_noted,reviewed,7,8,8,0,8,8,7,1,4,11,10996,10996,1588,16295,1,downloaded:8,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,open_review_route_and_collect_source_marked_evidence_without_promoting_candidates,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-006,src-ihp-museum-oracle-bones,museum_collection,core_institutional,adopted_core,metadata_only_until_verified,reviewed,1,1,1,0,1,1,0,0,0,2,0,0,0,0,1,downloaded:1,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_metadata_profile_and_decide_safe_derived_record_promotion,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-007,src-ihp-oracle-rubbings,online_database,core_institutional,adopted_core,metadata_only_until_verified,reviewed,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,downloaded:1,cleaned,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_download_log_size_checksum_rights_and_extract_metadata,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-008,src-metmuseum-oracle-bone,museum_collection,museum_collection,adopted_public_domain_sample_source,public_domain_verified,reviewed,2,2,2,0,2,2,3,0,0,6,2,0,0,0,1,downloaded:2,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_metadata_profile_and_decide_safe_derived_record_promotion,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-009,src-nlc-oracle-world,library_database,national_library,candidate_institutional_official_scope_confirmed,metadata_only_until_verified,reviewed,2,2,2,0,2,2,4,0,0,7,0,0,0,0,1,downloaded:2,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_metadata_profile_and_decide_safe_derived_record_promotion,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-010,src-obid-ancientbooks,online_database,scholarly_commercial_platform,adopted_professional_discovery_with_rights_caution,source_marked_risk_noted,reviewed,1,1,1,0,1,1,2,0,0,0,0,0,0,0,1,downloaded:1,cleaned,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_download_log_size_checksum_rights_and_extract_metadata,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-011,src-obimd,open_research_dataset,peer_reviewed_dataset,candidate_large_source,licensed_for_repository,reviewed,6,6,6,0,6,6,9,1,7,5,0,0,22,44492,1,downloaded:6,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,open_review_route_and_collect_source_marked_evidence_without_promoting_candidates,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-012,src-open-oracle,project_repository,scholarly_project,adopted_project_index,source_marked_risk_noted,reviewed,1,1,1,0,1,1,0,0,0,2,0,0,0,0,1,downloaded:1,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_metadata_profile_and_decide_safe_derived_record_promotion,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-013,src-oracle-mnist,open_research_dataset,peer_reviewed_dataset,candidate_ai_benchmark,source_marked_risk_noted,reviewed,1,1,1,0,1,1,0,0,0,2,0,0,0,0,1,downloaded:1,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_metadata_profile_and_decide_safe_derived_record_promotion,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
source-pipeline-014,src-penn-museum-oracle-bone,museum_collection,university_museum_collection,adopted_collection_reference,metadata_only_until_verified,reviewed,1,1,1,0,1,1,3,0,0,4,0,0,0,0,1,downloaded:1,pending_human_review,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,review_metadata_profile_and_decide_safe_derived_record_promotion,"Source processing pipeline audit only; derived counts and graph links are provenance and routing infrastructure, not decipherment or identity claims.",2026-06-19
