source_engineering_gap_id,source_id,priority_rank,gap_type,current_stage,authority_tier,rights_status,download_manifest_count,download_log_count,downloaded_count,access_boundary_or_error_count,checksum_present_count,size_recorded_count,field_map_count,large_source_register_count,package_manifest_count,metadata_profile_count,asset_count,candidate_queue_count,graph_edge_count,downloaded_file_bytes,download_status_counts,observed_gap_evidence,required_next_checks,route_files_to_open,expected_output_path,commit_policy_boundary,source_promotion_status,research_boundary,review_status,caution,updated_at
source-engineering-gap-0001,src-british-museum-oracle-bone,1,access_boundary_or_error_followup,discovered_access_boundary_or_error,museum_collection,metadata_only_until_verified,1,1,0,0,0,1,0,0,0,0,0,0,0,0,http_error:1,current_stage=discovered_access_boundary_or_error;download_status_counts=http_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=0;package_manifest_count=0;metadata_profile_count=0;graph_edge_count=0;downloaded_file_bytes=0;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0001_src-british-museum-oracle-bone_access_boundary_or_error_followup_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0002,src-sinica-da-xiaoxuetang-site,1,access_boundary_or_error_followup,pending_human_review,institutional_portal,metadata_only_until_verified,1,1,0,1,0,1,1,0,0,3,0,0,0,0,download_error:1,current_stage=pending_human_review;download_status_counts=download_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=1;package_manifest_count=0;metadata_profile_count=3;graph_edge_count=0;downloaded_file_bytes=0;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0002_src-sinica-da-xiaoxuetang-site_access_boundary_or_error_followup_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0003,src-sinica-yinshang-oracle-vocabulary,1,access_boundary_or_error_followup,pending_human_review,institutional_database,metadata_only_until_verified,1,1,0,1,0,1,2,0,0,2,0,0,0,0,download_error:1,current_stage=pending_human_review;download_status_counts=download_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=2;package_manifest_count=0;metadata_profile_count=2;graph_edge_count=0;downloaded_file_bytes=0;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0003_src-sinica-yinshang-oracle-vocabulary_access_boundary_or_error_followup_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0004,src-smithsonian-nmaa-oracle-bone,1,access_boundary_or_error_followup,pending_human_review,national_museum_collection,public_domain_verified,2,2,1,0,1,2,3,1,1,3,1,0,0,115569,downloaded:1;http_error:1,current_stage=pending_human_review;download_status_counts=downloaded:1;http_error:1;downloaded_count=1;download_log_count=2;checksum_present_count=1;field_map_count=3;package_manifest_count=1;metadata_profile_count=3;graph_edge_count=0;downloaded_file_bytes=115569;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0004_src-smithsonian-nmaa-oracle-bone_access_boundary_or_error_followup_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0005,src-xiaoxuetang-jiaguwen,1,access_boundary_or_error_followup,structured,core_institutional,metadata_only_until_verified,4,4,2,4,2,4,6,1,2,0,0,0,0,73834,download_error:2;downloaded_access_restricted_page:2,current_stage=structured;download_status_counts=download_error:2;downloaded_access_restricted_page:2;downloaded_count=2;download_log_count=4;checksum_present_count=2;field_map_count=6;package_manifest_count=2;metadata_profile_count=0;graph_edge_count=0;downloaded_file_bytes=73834;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0005_src-xiaoxuetang-jiaguwen_access_boundary_or_error_followup_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0006,src-xiaoxuetang-obm,1,access_boundary_or_error_followup,structured,core_institutional,metadata_only_until_verified,4,4,4,4,4,4,6,1,4,0,0,0,0,147668,downloaded_access_restricted_page:4,current_stage=structured;download_status_counts=downloaded_access_restricted_page:4;downloaded_count=4;download_log_count=4;checksum_present_count=4;field_map_count=6;package_manifest_count=4;metadata_profile_count=0;graph_edge_count=0;downloaded_file_bytes=147668;gap_type=access_boundary_or_error_followup,open_download_log_and_status_codebook;record_retry_manual_access_or_metadata_only_boundary;do_not_promote_failed_or_restricted_download_as_source_content,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;corpus/009_statistics-and-derived-features/007_source-coverage-summary.csv;corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv;corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0006_src-xiaoxuetang-obm_access_boundary_or_error_followup_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0007,src-british-museum-oracle-bone,2,checksum_or_failed_download_status_review_needed,discovered_access_boundary_or_error,museum_collection,metadata_only_until_verified,1,1,0,0,0,1,0,0,0,0,0,0,0,0,http_error:1,current_stage=discovered_access_boundary_or_error;download_status_counts=http_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=0;package_manifest_count=0;metadata_profile_count=0;graph_edge_count=0;downloaded_file_bytes=0;gap_type=checksum_or_failed_download_status_review_needed,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0007_src-british-museum-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0008,src-sinica-da-xiaoxuetang-site,2,checksum_or_failed_download_status_review_needed,pending_human_review,institutional_portal,metadata_only_until_verified,1,1,0,1,0,1,1,0,0,3,0,0,0,0,download_error:1,current_stage=pending_human_review;download_status_counts=download_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=1;package_manifest_count=0;metadata_profile_count=3;graph_edge_count=0;downloaded_file_bytes=0;gap_type=checksum_or_failed_download_status_review_needed,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0008_src-sinica-da-xiaoxuetang-site_checksum_or_failed_download_status_review_needed_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0009,src-sinica-yinshang-oracle-vocabulary,2,checksum_or_failed_download_status_review_needed,pending_human_review,institutional_database,metadata_only_until_verified,1,1,0,1,0,1,2,0,0,2,0,0,0,0,download_error:1,current_stage=pending_human_review;download_status_counts=download_error:1;downloaded_count=0;download_log_count=1;checksum_present_count=0;field_map_count=2;package_manifest_count=0;metadata_profile_count=2;graph_edge_count=0;downloaded_file_bytes=0;gap_type=checksum_or_failed_download_status_review_needed,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0009_src-sinica-yinshang-oracle-vocabulary_checksum_or_failed_download_status_review_needed_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
source-engineering-gap-0010,src-smithsonian-nmaa-oracle-bone,2,checksum_or_failed_download_status_review_needed,pending_human_review,national_museum_collection,public_domain_verified,2,2,1,0,1,2,3,1,1,3,1,0,0,115569,downloaded:1;http_error:1,current_stage=pending_human_review;download_status_counts=downloaded:1;http_error:1;downloaded_count=1;download_log_count=2;checksum_present_count=1;field_map_count=3;package_manifest_count=1;metadata_profile_count=3;graph_edge_count=0;downloaded_file_bytes=115569;gap_type=checksum_or_failed_download_status_review_needed,open_download_log;separate_failed_or_restricted_rows_from checksum-bearing downloads;record_no_source_package_or_metadata_promotion_without verified checksum,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv;project_registry/006_large-source-register/002_source-download-log.csv;corpus/006_research-sources-and-bibliography/000_source-registers/013_source-download-status-codebook.csv;corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,doc/public/user_research/009_source-engineering-gap-review-queues/0010_src-smithsonian-nmaa-oracle-bone_checksum_or_failed_download_status_review_needed_review-log.md,metadata_review_only_raw_or_temporary_material_stays_outside_regular_git,not_promoted,source_engineering_gap_queue_metadata_only_not_scholarship,needs_source_engineering_review,"This row is a source-engineering gap task only. It routes agents to current provenance, download, manifest, field-map, and derived-record evidence; it is not a source promotion decision, not rights clearance, not a corpus import, not an identity claim, and not a decipherment conclusion.",2026-06-19
