coverage_id,project_id,object_dir,asset_count,local_image_status,observation_path,visual_observation_status,pixel_profile_status,rights_status,review_status,next_human_action
component-visual-observation-00001,obs-comp-cand-000001,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/001_obs-comp-cand-000001_obimd-sub-p8w7ujqanz_component-candidate,50,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/001_obs-comp-cand-000001_obimd-sub-p8w7ujqanz_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00002,obs-comp-cand-000002,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/002_obs-comp-cand-000002_obimd-sub-puk1pu688h_component-candidate,1,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/002_obs-comp-cand-000002_obimd-sub-puk1pu688h_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00003,obs-comp-cand-000003,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/003_obs-comp-cand-000003_obimd-sub-d68nl6yapc_component-candidate,1,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/003_obs-comp-cand-000003_obimd-sub-d68nl6yapc_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00004,obs-comp-cand-000004,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/004_obs-comp-cand-000004_obimd-sub-6kf650i4zk_component-candidate,10,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/004_obs-comp-cand-000004_obimd-sub-6kf650i4zk_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00005,obs-comp-cand-000005,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/005_obs-comp-cand-000005_obimd-sub-963x9919ok_component-candidate,1,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/005_obs-comp-cand-000005_obimd-sub-963x9919ok_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00006,obs-comp-cand-000006,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/006_obs-comp-cand-000006_obimd-sub-n4g5hrawu4_component-candidate,1,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/006_obs-comp-cand-000006_obimd-sub-n4g5hrawu4_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00007,obs-comp-cand-000007,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/007_obs-comp-cand-000007_obimd-sub-mg6ldxzwwb_component-candidate,9,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/007_obs-comp-cand-000007_obimd-sub-mg6ldxzwwb_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00008,obs-comp-cand-000008,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/008_obs-comp-cand-000008_obimd-sub-vg3ptni3mq_component-candidate,1,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/008_obs-comp-cand-000008_obimd-sub-vg3ptni3mq_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00009,obs-comp-cand-000009,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/009_obs-comp-cand-000009_obimd-sub-6wyn6yddb6_component-candidate,1,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/009_obs-comp-cand-000009_obimd-sub-6wyn6yddb6_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
component-visual-observation-00010,obs-comp-cand-000010,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/010_obs-comp-cand-000010_obimd-sub-k1euhuea0p_component-candidate,1,source_image_extracted,corpus/003_graphemic-components/001_000001-000100_obs-comp-cand-bucket_component-candidates/010_obs-comp-cand-000010_obimd-sub-k1euhuea0p_component-candidate/18_material-visual-observation.md,manual_shape_observation_and_boundary_present,not_applicable,licensed_for_repository,needs_human_visual_review,open image and verify the neutral visual record
