project_id,record_type,canonical_path,primary_external_ref_id,all_external_ref_ids,source_ids,rights_status,review_status,updated_at
obs-xwalk-cand-000001,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/001_obs-xwalk-cand-000001_xwalk-000001_codepoint-xwalk,hust-obimd-evobc-xwalk-000001,hust-obimd-evobc-xwalk-000001;hust-obc-cat-0001,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000002,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/002_obs-xwalk-cand-000002_xwalk-000002_codepoint-xwalk,hust-obimd-evobc-xwalk-000002,hust-obimd-evobc-xwalk-000002;hust-obc-cat-0002,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000003,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/003_obs-xwalk-cand-000003_xwalk-000003_codepoint-xwalk,hust-obimd-evobc-xwalk-000003,hust-obimd-evobc-xwalk-000003;hust-obc-cat-0003,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000004,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/004_obs-xwalk-cand-000004_xwalk-000004_codepoint-xwalk,hust-obimd-evobc-xwalk-000004,hust-obimd-evobc-xwalk-000004;hust-obc-cat-0004,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000005,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/005_obs-xwalk-cand-000005_xwalk-000005_codepoint-xwalk,hust-obimd-evobc-xwalk-000005,hust-obimd-evobc-xwalk-000005;hust-obc-cat-0005,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000006,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/006_obs-xwalk-cand-000006_xwalk-000006_codepoint-xwalk,hust-obimd-evobc-xwalk-000006,hust-obimd-evobc-xwalk-000006;hust-obc-cat-0006,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000007,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/007_obs-xwalk-cand-000007_xwalk-000007_codepoint-xwalk,hust-obimd-evobc-xwalk-000007,hust-obimd-evobc-xwalk-000007;hust-obc-cat-0007,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000008,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/008_obs-xwalk-cand-000008_xwalk-000008_codepoint-xwalk,hust-obimd-evobc-xwalk-000008,hust-obimd-evobc-xwalk-000008;hust-obc-cat-0008,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000009,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/009_obs-xwalk-cand-000009_xwalk-000009_codepoint-xwalk,hust-obimd-evobc-xwalk-000009,hust-obimd-evobc-xwalk-000009;hust-obc-cat-0009,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
obs-xwalk-cand-000010,codepoint_crosswalk_candidate,corpus/001_oracle-characters/112_000001-000100_obs-xwalk-bucket_codepoint-xwalk/010_obs-xwalk-cand-000010_xwalk-000010_codepoint-xwalk,hust-obimd-evobc-xwalk-000010,hust-obimd-evobc-xwalk-000010;hust-obc-cat-0010,src-hust-obc,source_marked_risk_noted,needs_cross_source_review,2026-06-28
